# Run 1,Run 1,Run 1,Run 1,Run 1
Time (s),Acceleration - x (m/s²),Acceleration - y (m/s²),Acceleration - z (m/s²),Acceleration - resultant (m/s²)
11.375,6.8,5.8,6.3,10.9
11.400,6.9,5.9,6.3,11.0
11.425,6.9,5.9,6.3,11.0
11.450,6.9,5.9,6.3,11.0
11.475,6.9,5.9,6.3,11.0
11.500,6.8,6.2,6.2,11.1
11.525,6.8,6.2,6.2,11.1
11.550,6.8,6.2,6.2,11.1
11.575,6.8,6.2,6.2,11.1
11.600,6.8,6.7,6.2,11.4
11.625,6.8,6.7,6.2,11.4
11.650,6.8,6.7,6.2,11.4
11.675,6.8,6.7,6.2,11.4
11.700,6.8,6.7,6.2,11.4
11.725,6.8,6.7,6.2,11.4
11.750,6.8,6.7,6.2,11.4
11.775,6.9,6.5,6.1,11.3
11.800,6.9,6.5,6.1,11.3
11.825,6.9,6.5,6.1,11.3
11.850,6.9,6.5,6.1,11.3
11.875,6.8,6.3,6.1,11.1
11.900,6.8,6.3,6.1,11.1
11.925,6.8,6.3,6.1,11.1
11.950,6.8,6.3,6.1,11.1
11.975,6.8,5.9,6.1,10.9
12.000,6.8,5.9,6.1,10.9
12.025,6.8,5.9,6.1,10.9
12.050,6.8,5.9,6.1,10.9
12.075,6.8,5.8,6.1,10.9
12.100,6.8,5.8,6.1,10.9
12.125,6.8,5.9,6.1,10.9
12.150,6.8,5.9,6.1,10.9
12.175,6.8,6.1,6.1,11.0
12.200,6.8,6.1,6.1,11.0
12.225,6.8,6.1,6.1,11.0
12.250,6.8,6.1,6.1,11.0
12.275,6.9,6.5,6.2,11.3
12.300,6.9,6.5,6.2,11.3
12.325,6.9,6.5,6.2,11.3
12.350,6.9,6.7,6.2,11.4
12.375,6.9,6.7,6.2,11.4
12.400,6.9,6.7,6.2,11.4
12.425,6.9,6.7,6.2,11.4
12.450,6.9,6.7,6.2,11.4
12.475,6.9,6.7,6.2,11.4
12.500,6.9,6.7,6.2,11.4
12.525,6.8,6.6,6.2,11.4
12.550,6.8,6.6,6.2,11.4
12.575,6.8,6.6,6.2,11.4
12.600,6.9,6.2,6.3,11.2
12.625,6.9,6.2,6.3,11.2
12.650,6.9,6.2,6.3,11.2
12.675,6.9,6.0,6.3,11.1
12.700,6.9,6.0,6.3,11.1
12.725,6.9,6.0,6.3,11.1
12.750,6.9,5.8,6.3,11.0
12.775,6.9,5.8,6.3,11.0
12.800,6.9,5.8,6.3,11.0
12.825,6.9,5.8,6.3,11.0
12.850,6.8,5.9,6.3,11.0
12.875,6.8,5.9,6.3,11.0
12.900,6.8,5.9,6.3,11.0
12.925,6.8,5.9,6.3,11.0
12.950,6.8,6.0,6.2,11.0
12.975,6.9,6.4,6.2,11.3
13.000,6.9,6.4,6.2,11.3
13.025,6.9,6.4,6.2,11.3
13.050,6.9,6.4,6.2,11.3
13.075,6.8,6.7,6.1,11.4
13.100,6.8,6.7,6.1,11.4
13.125,6.8,6.7,6.1,11.4
